proto,ac,active,actuator,air,alarm,angle,apparent,atmospheric,avg,boiler,bypass,ch2o,chilled,chiller,circ,cloudage,cmd,co,co2,concentration,condensate,condenser,controller,cool,cooling,coolingCoil,coolingTower,crac,current,damper,daytime,delta,demand,dessicantDehumidifier,device,dewPoint,direction,discharge,duct,ductArea,economizer,economizing,effective,efficiency,elec,enable,energy,entering,enthalpy,equip,evaporator,exhaust,export,extraction,faceBypass,fan,fcu,feelsLike,filter,flow,flowInverter,flue,flux,freezeStat,freq,ground,header,heat,heatExchanger,heatWheel,heating,heatingCoil,hot,humidifier,humidity,hvacMode,illuminance,imbalance,import,infiltration,inlet,irradiance,isolation,leaving,level,light,load,luminous,magnitude,makeup,meter,mixed,mixing,motor,net,networking,nh3,no2,o3,occ,occupancy,occupied,outside,perimeterHeat,pf,phase,pipe,pm01,pm10,pm25,point,power,precipitation,pressure,pump,purge,rack,reactive,refrig,reheat,return,run,sensor,server,solar,sp,space,speed,stage,standby,steam,temp,thd,thermal,thermostat,total,tvoc,unocc,valve,velocity,ventilation,vfd,visibility,volt,volume,warm,water,weather,weatherCond,well,wetBulb,wind,zone
hot water header pump vfd freq cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","",""
hot water header pump vfd freq sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","",""
hot water header pump vfd speed cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","",✓,"","","","",✓,"","","","","",""
hot water header pump vfd speed sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","",✓,"","","","",✓,"","","","","",""
hot water header temp sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","",""
hot water header temp sp point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","",""
hot water header valve actuator equip,"","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
hot water header valve cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
hot water header valve sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
hot water heat valve cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
hot water heatExchanger equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
hot water leaving equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
hot water leaving flow sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
hot water leaving flow sp point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
hot water leaving pipe equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
hot water leaving point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
hot water leaving pressure sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
hot water leaving pressure sp point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
hot water leaving pump alarm sensor point,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
